STATE,ENTRSIZE,FIRM,ESTB,EMPL,PAYR,RCPT,Year
0,8,105,106,2796,97668,419808.0,2012
0,9,66,66,2041,82476,348387.0,2012
0,10,41,45,1407,43391,190088.0,2012
0,11,79,94,3118,121837,525922.0,2012
0,12,111,129,6006,202736,936805.0,2012
0,13,68,87,5341,185091,823696.0,2012
0,14,67,113,6981,222555,1099750.0,2012
0,15,38,77,4578,116410,532050.0,2012
0,16,43,104,7296,213066,1009874.0,2012
0,17,17,32,3683,99904,430632.0,2012
0,18,18,79,5631,161603,904378.0,2012
0,19,10223,10526,79860,2724675,14258791.0,2012
0,20,12,43,1465,64550,381648.0,2012
0,21,2,4,0,0,0.0,2012
0,22,6,18,3526,64133,0.0,2012
0,23,5,21,0,0,0.0,2012
0,24,4,5,0,30133,113629.0,2012
0,25,17,78,6808,211845,1190198.0,2012
0,26,16,134,0,233073,1241254.0,2012
0,1,4432,4779,69035,2362824,13909520.0,2012
0,2,2848,2849,4076,226694,1923149.0,2012
0,3,651,653,4220,191231,1402218.0,2012
0,4,236,237,2688,115096,806116.0,2012
0,5,114,117,1881,78932,486589.0,2012
0,6,3849,3856,12865,611953,4618072.0,2012
0,7,82,86,1717,73093,419122.0,2012
0,8,61,62,1606,62495,326847.0,2012
0,9,44,44,1339,62778,297696.0,2012
0,10,24,24,816,25259,127908.0,2012
0,11,54,60,2132,74756,365980.0,2012
0,12,77,87,4204,155393,774048.0,2012
0,13,51,62,3867,132751,642064.0,2012
0,14,53,88,5375,158651,864691.0,2012
0,15,32,56,3639,82634,409495.0,2012
0,16,34,67,5999,170778,843711.0,2012
0,17,13,21,3003,76223,342190.0,2012
0,18,14,75,4435,122202,745444.0,2012
0,19,4388,4588,50997,1808966,10777268.0,2012
0,20,11,42,1460,64511,381489.0,2012
0,21,2,4,0,0,0.0,2012
0,22,3,4,0,0,0.0,2012
0,23,5,21,0,0,0.0,2012
0,24,2,2,0,0,0.0,2012
0,25,11,66,6426,186168,1096523.0,2012
0,26,10,52,0,0,0.0,2012
0,1,4432,4779,69035,2362824,13909520.0,2012
0,2,2848,2849,4076,226694,1923149.0,2012
0,3,651,653,4220,191231,1402218.0,2012
0,4,236,237,2688,115096,806116.0,2012
0,5,114,117,1881,78932,486589.0,2012
0,6,3849,3856,12865,611953,4618072.0,2012
0,7,82,86,1717,73093,419122.0,2012
0,8,61,62,1606,62495,326847.0,2012
0,9,44,44,1339,62778,297696.0,2012
0,10,24,24,816,25259,127908.0,2012
0,11,54,60,2132,74756,365980.0,2012
0,12,77,87,4204,155393,774048.0,2012
0,13,51,62,3867,132751,642064.0,2012
0,14,53,88,5375,158651,864691.0,2012
0,15,32,56,3639,82634,409495.0,2012
0,16,34,67,5999,170778,843711.0,2012
0,17,13,21,3003,76223,342190.0,2012
0,18,14,75,4435,122202,745444.0,2012
0,19,4388,4588,50997,1808966,10777268.0,2012
0,20,11,42,1460,64511,381489.0,2012
0,21,2,4,0,0,0.0,2012
0,22,3,4,0,0,0.0,2012
0,23,5,21,0,0,0.0,2012
